id,external_no,name,type_code,type_name,district_name,rural_okrug,lat,lon,year_built,water_source,capacity_m3s,length_total_km,length_earth_km,length_lined_km,suspended_area_ha,efficiency_design,efficiency_actual,efficiency_drop,wear_percent,age,tech_state_raw,cadastral_no,state_act
1,1.0,Канал №1 (Район 1),canal,Канал,Район 1,Сельский округ 1,43.158396,69.542718,1973.0,р. Иртыш,3.0,7.74,,7.74,,0.85,0.73,0.12,0.3,53.0,удов.,Кадастровый № 0001,
2,2.0,Канал №2 (Район 2),canal,Канал,Район 2,Сельский округ 2,43.487285,69.503412,1945.0,р. Иртыш,1.5,6.8,,6.8,1236.0,0.85,0.6,0.25,0.3,81.0,удов.,Кадастровый № 0002,Госакт № 0002
3,3.0,Канал №3 (Район 3),canal,Канал,Район 3,Сельский округ 3,43.400287,72.395995,1928.0,р. Иртыш,1.0,10.7,10.7,,756.0,0.75,0.59,0.16000000000000003,0.3,98.0,удов.,Кадастровый № 0003,Госакт № 0003
4,4.0,Канал №4 (Район 4),canal,Канал,Район 4,Сельский округ 4,43.636024,70.631811,1955.0,р. Иртыш,1.2,12.9,12.9,,1232.0,0.7,0.54,0.15999999999999992,0.3,71.0,удов.,Кадастровый № 0004,Госакт № 0004
5,5.0,Канал №5 (Район 5),canal,Канал,Район 5,Сельский округ 5,42.620987,70.533311,1982.0,р. Иртыш,10.0,4.024,3.874,0.15,,0.8,0.6,0.20000000000000007,0.3,44.0,удов.,Кадастровый № 0005,Госакт № 0005
6,6.0,Канал №6 (Район 6),canal,Канал,Район 6,Сельский округ 6,43.099456,72.278071,1930.0,р. Иртыш,2.0,7.0,7.0,,1600.0,0.75,0.58,0.17000000000000004,0.3,96.0,удов.,Кадастровый № 0006,Госакт № 0006
7,7.0,Канал №7 (Район 7),canal,Канал,Район 7,Сельский округ 7,43.426488,71.475152,1930.0,р. Иртыш,3.0,10.0,10.0,,,0.75,0.66,0.08999999999999997,0.3,96.0,удов.,Кадастровый № 0007,Госакт № 0007
8,8.0,Канал №8 (Район 8),canal,Канал,Район 8,Сельский округ 8,43.612241,73.852879,1953.0,р. Иртыш,0.6,7.0,7.0,,373.0,0.68,0.54,0.14,0.3,73.0,удов.,Кадастровый № 0008,Госакт № 0008
9,9.0,Канал №9 (Район 9),canal,Канал,Район 9,Сельский округ 9,44.992573,69.924587,1943.0,р. Иртыш,0.1,4.025,4.025,,44.0,0.85,0.73,0.12,0.3,83.0,удов.,Кадастровый № 0009,Госакт № 0009
10,10.0,Канал №10 (Район 10),canal,Канал,Район 10,Сельский округ 10,42.727402,71.734273,,р. Иртыш,0.0,8.0,8.0,,0.0,0.85,0.73,0.12,1.3,,удов.,Кадастровый № 0010,Госакт № 0010
11,11.0,Канал №11 (Район 11),canal,Канал,Район 11,Сельский округ 11,43.06235,73.85278,1987.0,р. Иртыш,0.35,7.718,7.718,,253.0,0.72,0.4,0.31999999999999995,0.3,39.0,удов.,Кадастровый № 0011,Госакт № 0011
12,12.0,Канал №12 (Район 12),canal,Канал,Район 12,Сельский округ 12,42.728992,70.57072,1987.0,р. Иртыш,0.28,2.427,2.427,,166.0,0.72,0.4,0.31999999999999995,0.3,39.0,удов.,Кадастровый № 0012,Госакт № 0012
13,13.0,Канал №13 (Район 13),canal,Канал,Район 13,Сельский округ 13,44.258313,73.96046,1964.0,р. Иртыш,0.2,7.41,7.41,,100.0,0.72,0.4,0.31999999999999995,0.3,62.0,удов.,Кадастровый № 0013,Госакт № 0013
14,14.0,Канал №14 (Район 14),canal,Канал,Район 14,Сельский округ 14,44.776099,71.004051,1964.0,р. Иртыш,0.1,1.742,,1.742,50.0,0.8,0.6,0.20000000000000007,0.3,62.0,удов.,Кадастровый № 0014,Госакт № 0014
15,15.0,Канал №15 (Район 15),canal,Канал,Район 15,Сельский округ 15,43.962796,70.632822,1943.0,р. Иртыш,12.0,23.75,8.8,14.95,,0.8,0.73,0.07000000000000006,0.3,83.0,удов.,,
16,16.0,Канал №16 (Район 16),canal,Канал,Район 16,Сельский округ 16,44.113035,73.547585,,р. Иртыш,,1.2,1.2,,,,,,,,,Кадастровый № 0016,Госакт № 0016
17,17.0,Канал №17 (Район 17),canal,Канал,Район 17,Сельский округ 17,43.591475,73.632979,1986.0,р. Иртыш,39.0,6.3,,6.3,,0.85,0.6,0.25,0.3,40.0,удов.,Кадастровый № 0017,Госакт № 0017
18,18.0,Канал №18 (Район 18),canal,Канал,Район 18,Сельский округ 18,44.08594,70.363813,1985.0,р. Иртыш,19.0,36.14,,36.14,,,,,0.3,41.0,удов.,Кадастровый № 0018,Госакт № 0018
19,19.0,Канал №19 (Район 19),canal,Канал,Район 19,Сельский округ 19,43.650241,70.717453,1982.0,р. Иртыш,1.5,18.36,18.36,,1267.0,0.72,0.4,0.31999999999999995,0.3,44.0,удов.,Кадастровый № 0019,Госакт № 0019
20,20.0,Канал №20 (Район 20),canal,Канал,Район 20,Сельский округ 20,43.34276,71.504708,1910.0,р. Иртыш,3.0,21.9,21.9,,,0.72,0.4,0.31999999999999995,0.3,116.0,удов.,Кадастровый № 0020,Госакт № 0020
21,21.0,Канал №21 (Район 21),canal,Канал,Район 21,Сельский округ 21,43.284551,72.505931,1916.0,р. Иртыш,3.0,18.3,18.3,,,0.72,0.4,0.31999999999999995,0.3,110.0,удов.,Кадастровый № 0021,Госакт № 0021
22,22.0,Канал №22 (Район 22),canal,Канал,Район 22,Сельский округ 22,43.621397,72.84924,1985.0,р. Иртыш,0.5,9.4,,9.4,890.0,0.85,0.6,0.25,0.3,41.0,удов.,Кадастровый № 0022,Госакт № 0022
23,23.0,Канал №23 (Район 23),canal,Канал,Район 23,Сельский округ 23,43.351289,69.563667,1908.0,р. Иртыш,2.0,12.9,12.9,,1557.0,0.72,0.4,0.31999999999999995,0.3,118.0,удов.,Кадастровый № 0023,Госакт № 0023
24,24.0,Канал №24 (Район 24),canal,Канал,Район 24,Сельский округ 24,42.704096,70.999663,1920.0,р. Иртыш,2.2,9.738,,9.738,1048.0,0.85,0.6,0.25,0.3,106.0,удов.,Кадастровый № 0024,Госакт № 0024
25,25.0,Канал №25 (Район 25),canal,Канал,Район 25,Сельский округ 25,44.993714,71.54801,1963.0,р. Иртыш,0.5,3.769,3.769,,268.0,0.72,0.4,0.31999999999999995,0.3,63.0,удов.,Кадастровый № 0025,Госакт № 0025
26,26.0,Канал №26 (Район 26),canal,Канал,Район 26,Сельский округ 26,43.863015,72.03848,1970.0,р. Иртыш,2.0,3.972,3.972,,,0.72,0.4,0.31999999999999995,0.3,56.0,удов.,Кадастровый № 0026,Госакт № 0026
27,27.0,Канал №27 (Район 27),canal,Канал,Район 27,Сельский округ 27,44.610191,72.962959,1970.0,р. Иртыш,2.0,12.643,12.643,,,0.72,0.4,0.31999999999999995,0.3,56.0,удов.,Кадастровый № 0027,Госакт № 0027
28,28.0,Канал №28 (Район 28),canal,Канал,Район 28,Сельский округ 28,42.536538,70.006976,1910.0,р. Иртыш,2.0,10.2,10.2,,836.0,0.6,0.9,-0.30000000000000004,0.3,116.0,не удов.,Кадастровый № 0028,Госакт № 0028
